Time,strategy,avg_profit
6.6,Conservative,-0.03479926570290585
6.6,Opportunistic,-0.08642238225491637
6.6,Balanced,-0.0770066829773217
6.6,Cyclic,-0.11289696307750964
6.6,Aggressive,-0.11349360074675965
6.65,Aggressive,-0.11451732484552575
6.65,Conservative,-0.03497616995911366
6.65,Cyclic,-0.11361417135053226
6.65,Balanced,-0.0776934271174274
6.65,Opportunistic,-0.08686461048222566
6.7,Cyclic,-0.1141464338224294
6.7,Balanced,-0.07817726677484156
6.7,Aggressive,-0.11529736410030682
6.7,Conservative,-0.03523294705224582
6.7,Opportunistic,-0.08759849874039533
6.75,Aggressive,-0.11597021958961846
6.75,Opportunistic,-0.08811390252802616
6.75,Balanced,-0.07865064898845002
6.75,Conservative,-0.03547037345485321
6.75,Cyclic,-0.11509485595642724
6.8,Opportunistic,-0.08875137187185586
6.8,Cyclic,-0.11582058731712501
6.8,Balanced,-0.07906095701696571
6.8,Conservative,-0.03567752957594943
6.8,Aggressive,-0.11662974680129409
6.85,Cyclic,-0.11625847712964718
6.85,Aggressive,-0.11745254496415723
6.85,Opportunistic,-0.08920355783495026
6.85,Conservative,-0.036002672803966816
6.85,Balanced,-0.07961357003450145
6.9,Opportunistic,-0.08958878272422793
6.9,Conservative,-0.03609023849953489
6.9,Balanced,-0.07994666696067056
6.9,Aggressive,-0.1182215051160396
6.9,Cyclic,-0.11705375736737766
6.95,Conservative,-0.03642778419533639
6.95,Balanced,-0.08055373024395766
6.95,Cyclic,-0.11777796943139966
6.95,Aggressive,-0.11873169658943095
6.95,Opportunistic,-0.09009556950178417
7.0,Balanced,-0.08100313932215897
7.0,Conservative,-0.03656092446100165
7.0,Opportunistic,-0.09071585369623605
